game 3, tick 120: sent board, bot=S, enemy=S
game 3, tick 121: sent board, bot=S, enemy=S
game 3, tick 122: sent board, bot=S, enemy=S
game 3, tick 123: sent board, bot=S, enemy=S
game 3, tick 124: sent board, bot=S, enemy=S
game 3, tick 125: sent board, bot=S, enemy=S
game 3, tick 126: sent board, bot=S, enemy=S
game 3, tick 127: sent board, bot=S, enemy=S
game 3, tick 128: sent board, bot=S, enemy=S
game 3, tick 129: sent board, bot=S, enemy=S
game 3, tick 130: sent board, bot=S, enemy=S
game 3, tick 131: sent board, bot=S, enemy=S
game 3, tick 132: sent board, bot=S, enemy=S
game 3, tick 133: sent board, bot=S, enemy=S
game 3, tick 134: sent board, bot=S, enemy=S
game 3, tick 135: sent board, bot=S, enemy=S
game 3, tick 136: sent board, bot=S, enemy=S
game 3, tick 137: sent board, bot=S, enemy=S
game 3, tick 138: sent board, bot=S, enemy=S
game 3, tick 139: sent board, bot=S, enemy=S
game 3, tick 140: sent board, bot=S, enemy=S
game 3, tick 141: sent board, bot=S, enemy=S
game 3, tick 142: sent board, bot=S, enemy=S
game 3, tick 143: sent board, bot=S, enemy=S
game 3, tick 144: sent board, bot=S, enemy=S
game 3, tick 145: sent board, bot=S, enemy=S
game 3, tick 146: sent board, bot=S, enemy=S
game 3, tick 147: sent board, bot=S, enemy=S
game 3, tick 148: sent board, bot=S, enemy=S
game 3, tick 149: sent board, bot=S, enemy=S
game 3, tick 150: sent board, bot=S, enemy=S
game 3, tick 151: sent board, bot=S, enemy=S
game 3, tick 152: sent board, bot=S, enemy=S
game 3, tick 153: sent board, bot=S, enemy=S
game 3, tick 154: sent board, bot=S, enemy=S
game 3, tick 155: sent board, bot=S, enemy=S
game 3, tick 156: sent board, bot=S, enemy=S
game 3, tick 157: sent board, bot=S, enemy=S
game 3, tick 158: sent board, bot=S, enemy=S
game 3, tick 159: sent board, bot=S, enemy=S
game 3, tick 160: sent board, bot=S, enemy=S
game 3, tick 161: sent board, bot=S, enemy=S
game 3, tick 162: sent board, bot=S, enemy=S
game 3, tick 163: sent board, bot=S, enemy=S
game 3, tick 164: sent board, bot=S, enemy=S
game 3, tick 165: sent board, bot=S, enemy=S
game 3, tick 166: sent board, bot=S, enemy=S
game 3, tick 167: sent board, bot=S, enemy=S
game 3, tick 168: sent board, bot=S, enemy=S
game 3, tick 169: sent board, bot=S, enemy=S
game 3, tick 170: sent board, bot=S, enemy=S
game 3, tick 171: sent board, bot=S, enemy=S
game 3, tick 172: sent board, bot=S, enemy=S
